date,n,total_mean,dbi_mean,balanced_rate,skewed_rate
2024-01-01,8,8.7125,0.9411636993926091,87.5,0.0
2024-01-02,5,9.379999999999999,0.8851275948250146,80.0,0.0
2024-01-03,10,8.84,0.9134015040414727,90.0,0.0
2024-01-04,9,8.766666666666667,0.9238035366659214,88.88888888888889,0.0
2024-01-05,12,8.666666666666666,0.899749216575787,75.0,0.0
2024-01-06,6,8.433333333333334,0.7653960077381092,33.33333333333333,16.666666666666664
2024-01-07,8,9.075,0.8419345231645843,75.0,0.0
2024-01-08,7,8.22857142857143,0.9007619032469238,85.71428571428571,0.0
2024-01-09,12,7.55,0.9023146616668384,91.66666666666666,0.0
2024-01-10,7,7.3,0.8965494293729206,100.0,0.0
2024-01-11,4,7.1000000000000005,0.892159067885051,100.0,0.0
2024-01-12,5,8.84,0.9503045480866771,100.0,0.0
2024-01-13,10,7.93,0.9083377788492223,90.0,0.0
2024-01-14,6,8.216666666666667,0.83545428872729,66.66666666666666,0.0
2024-01-15,9,7.966666666666667,0.8503944317954456,88.88888888888889,0.0
2024-01-16,8,8.2125,0.8736229846590964,87.5,0.0
2024-01-17,13,8.330769230769231,0.8482901136542946,76.92307692307693,7.6923076923076925
2024-01-18,8,8.3875,0.8639512390303287,75.0,0.0
2024-01-19,9,9.088888888888889,0.9126491946861213,88.88888888888889,0.0
2024-01-20,4,8.8,0.8739418597799458,75.0,0.0
2024-01-21,8,8.85,0.8493966256035745,50.0,0.0
2024-01-22,7,9.528571428571428,0.8812013366812488,85.71428571428571,0.0
2024-01-23,5,9.18,0.8133662524047613,60.0,20.0
2024-01-24,11,7.990909090909091,0.8281423122622886,63.63636363636363,9.090909090909092
2024-01-25,5,7.159999999999999,0.8930287057277033,80.0,0.0
2024-01-26,12,8.466666666666667,0.8407347354143825,66.66666666666666,0.0
2024-01-27,8,8.075,0.8913508201113229,75.0,0.0
2024-01-28,7,7.928571428571429,0.8469229524739789,71.42857142857143,0.0
2024-01-29,12,7.741666666666667,0.9152842754672821,91.66666666666666,0.0
2024-01-30,5,7.82,0.8436262884212148,60.0,0.0
2024-01-31,12,7.208333333333333,0.8212250450360573,41.66666666666667,0.0
2024-02-01,14,7.821428571428571,0.9285820667286088,92.85714285714286,0.0
2024-02-02,8,8.9,0.878005636853724,87.5,0.0
2024-02-03,4,6.45,0.9346018014951502,100.0,0.0
2024-02-04,8,7.6625,0.9433441480438901,100.0,0.0
2024-02-05,9,8.11111111111111,0.9083848509687855,100.0,0.0
2024-02-06,12,8.241666666666667,0.852769158873817,83.33333333333334,0.0
2024-02-07,11,8.200000000000001,0.8701105156127458,63.63636363636363,0.0
2024-02-08,9,8.677777777777777,0.8682965505607663,77.77777777777779,11.11111111111111
2024-02-09,9,7.455555555555555,0.9046667959256853,77.77777777777779,0.0
2024-02-10,6,6.616666666666666,0.9093113611240762,100.0,0.0
2024-02-11,8,7.3,0.8774466672956418,75.0,0.0
2024-02-12,6,7.316666666666667,0.8443939072353884,66.66666666666666,16.666666666666664
2024-02-13,14,7.014285714285714,0.8952053732249982,85.71428571428571,0.0
2024-02-14,9,9.511111111111111,0.8455166647370871,77.77777777777779,11.11111111111111
2024-02-15,6,6.733333333333333,0.8195512747855802,50.0,0.0
2024-02-16,7,8.014285714285714,0.8891412619064083,100.0,0.0
2024-02-17,4,7.6,0.905372399220042,100.0,0.0
2024-02-18,3,8.533333333333333,0.961365629157383,100.0,0.0
2024-02-19,9,8.822222222222223,0.8739131536335993,77.77777777777779,0.0
2024-02-20,8,8.95,0.8826508278571173,87.5,12.5
2024-02-21,9,6.788888888888889,0.8218738783461497,66.66666666666666,22.22222222222222
2024-02-22,9,6.4222222222222225,0.8926503622460896,88.88888888888889,0.0
2024-02-23,9,7.066666666666666,0.8863335801405354,88.88888888888889,0.0
2024-02-24,8,7.6,0.8375326768782196,87.5,12.5
2024-02-25,2,7.7,0.9347646707883925,100.0,0.0
2024-02-26,15,7.833333333333333,0.8735283728292047,80.0,0.0
2024-02-27,5,6.76,0.9165457717647307,100.0,0.0
2024-02-28,9,8.511111111111111,0.9466637061251182,100.0,0.0
2024-02-29,11,7.945454545454546,0.9043872528347182,90.9090909090909,0.0
2024-03-01,7,8.62857142857143,0.7990251229763965,57.14285714285714,14.285714285714285
2024-03-02,7,7.328571428571428,0.9182630399509202,100.0,0.0
2024-03-03,6,6.416666666666667,0.9335464876778129,100.0,0.0
2024-03-04,10,7.4,0.8959020837775469,90.0,0.0
2024-03-05,8,7.2875,0.900097771513552,87.5,12.5
2024-03-06,8,8.0875,0.8769415472863686,75.0,0.0
2024-03-07,5,7.08,0.9225505477713309,100.0,0.0
2024-03-08,5,7.5200000000000005,0.8605209895361705,80.0,0.0
2024-03-09,5,8.48,0.8825090407719823,80.0,0.0
2024-03-10,7,8.471428571428572,0.8320436799600983,71.42857142857143,0.0
2024-03-11,12,8.041666666666666,0.8360516638456947,66.66666666666666,8.333333333333332
2024-03-12,6,7.3500000000000005,0.9033510966064154,66.66666666666666,0.0
2024-03-13,3,8.333333333333334,0.9853912404056381,100.0,0.0
2024-03-14,9,8.322222222222223,0.865014851286777,77.77777777777779,0.0
2024-03-15,5,9.379999999999999,0.9234503209998669,80.0,0.0
2024-03-16,12,8.558333333333334,0.8935916904189143,91.66666666666666,0.0
2024-03-17,7,8.6,0.8744998067255251,57.14285714285714,0.0
2024-03-18,4,8.325,0.8789691845073135,75.0,0.0
2024-03-19,10,8.59,0.8947273122716058,90.0,0.0
2024-03-20,10,8.190000000000001,0.8867809016465842,80.0,0.0
